index,predicate
3946,approvedUsersValue[msg.sender]>0
8719,_records[tokenOut].bound
5497,b<=a
7655,totalSupply()+_count+ExistingOwnerAmt<=MAX_ELEMENTS
6818,to!=address(0)
3368,_amount>0
5077,_ids.length==_amounts.length
9105,"IERC20(USDT).transferFrom(msg.sender,address(this),tokens)"
1513,isAuthorised(node)
2020,address(this).balance>=amount
2388,ownerTokenCount<nftPerAddressLimit
4304,msg.sender==owner
1851,_mintAmount<=maxMintAmount
863,initializing||isConstructor()||!initialized
8382,tokenIds.length==amounts.length
6655,msg.value>=minimumBid
336,index<totalSupply()
6197,owner()==_msgSender()
4544,earlysaleEnable
491,index<balanceOf(owner)
392,requiredCosigner==signer||requiredCosigner==cosigner
9006,to!=address(0)
5951,_detailsSet
6356,msg.sender==newOwner
6162,users[msg.sender].referredUsers>=4
7600,c>=a
6566,"_msgSender()==owner||isApprovedForAll(owner,_msgSender())"
4620,_exists(tokenId)
1079,recoveredAddress!=address(0)&&recoveredAddress==owner
7776,address(this).balance>=_ethValue
2214,msg.value>0
3088,recipient!=address(0)
5738,"_isApprovedOrOwner(_msgSender(),tokenId)"
1272,_isOwner(msg.sender)
5373,isReserve[reserve]
9348,_value<=getFrozenBalance(_owner)
4734,"ensure(_from,_to,_value)"
1953,newOperator!=address(0)
7575,newOwner!=address(0)
6645,approved_to_deposit[msg.sender][_addr]
6600,account!=address(0)
9200,isPauser(_msgSender())
5420,to!=newun
9798,_ownerMintedCount+_mintAmount<=nftPerAddressLimit
4655,account!=address(0)
4308,isHuman(_admin)
6627,_msgSender()==_creator
2489,wd.channelAddress==address(this)
7549,totalSupply()+quantity<=collectionSize
64,c/a==b
6464,msg.value>=PRICE.mul(_count)
3240,candidate>0
7704,"success&&(data.length==0||abi.decode(data,(bool)))"
9057,isDebtor[msg.sender]
4088,c>=a
6878,c/a==b
7072,newTotalAllowance<=fdtBal
6335,msg.sender==owner
1340,c>=a
6206,address(this).balance>=value
8259,trustedIssuerClaimTopics[address(_trustedIssuer)].length!=0
2870,"tokenAmountOut<=bmul(outRecord.balance,MAX_OUT_RATIO)"
6552,target.length==amount.length
4547,users[msg.sender].earlySaleMint+_count<=MAX_MINT_EARLYSALE
5424,msg.sender==address(manager)
4461,_endTime>=_startTime
297,b<=a
6985,a==0||c/a==b
4890,to!=address(0)
9077,b!=0
3814,b<=a
9534,keyIndex!=0
9964,to!=owner
1038,state!=ModultradeLibrary.ProposalStates.Closed
554,msg.sender==poolParams.owner
7535,rule.maxSenderAmount!=0
499,now<=LOCK_END_TIME
3465,_to!=address(0)
2151,owner!=address(0)
9083,isWhitelistAdmin(msg.sender)
3682,balanceOf[msg.sender]>=_value
9270,account!=address(0)
8059,sender!=address(0)
611,grant.grantManager==msg.sender
8788,!isPrototype&&msg.sender==ownerAddress()
43,_blacklist[account]==false
9145,!_isExcluded[account]
6247,address(pool)==ITokenConfiguration(variableDebtTokenImpl).POOL()
4654,account!=address(0)
7943,!suspended
2468,_amount<=balances[msg.sender]
9915,balances[msg.sender]>=value
993,c>=a
6831,address(this).balance>=amount
1228,owner!=address(0)
9474,_added.length==_addedAdmins.length
2495,newOwner!=address(0)
7276,accounts.length==ids.length
540,_groupSize>0
671,_guardCounter==localCounter
3257,newOwner!=address(0)
1285,address(this).balance>=value
6085,teamId==1||teamId==2
4867,_receivers[i]!=address(0)
7976,state==State.successful
1997,size>0
4539,index<ERC721.balanceOf(owner)
4980,b>0
3931,!mintingFinished
8972,b>0
9753,tokens<=balanceOfContract-_totalSupply
245,originalAddress!=newAddress
8777,"(value==0)||(token.allowance(address(this),spender)==0)"
3371,_amount>0
973,_to!=address(0)
3612,msg.sender==liquidator
3637,msg.sender==owner
4266,msg.value>=price*_mintAmount
1577,self.pending==_amount
3721,"_checkOnERC721Received(from,to,tokenId,_data)"
941,settlementFee<total
8118,v==27||v==28
2167,amount<=totalRemaining
5123,transfersPaused==false
1210,_owner==_msgSender()
692,sigType<uint8(SIGTYPE_UNSUPPORTED)
4096,_value<=balances[msg.sender]
7818,campaign.budget>=campaign.price
8862,balanceOf[_to]+_value>=balanceOf[_to]
955,value<=60days
9657,"token.transfer(to,value)"
4871,msg.sender==questionSender
853,!(Gouda[sender]==true)
2161,blacklist[msg.sender]==false
3052,address(this).balance>=value
5020,payees.length>0
1422,_getTotalSupply()-baseStageSupply<THIRD_DROP_CAP
7255,address(this).balance==balanceAfter
246,"originalAddress.isValidSignatureNow(hash,signature)"
2180,!frozenAccount[_from]
6841,recipient!=lottery
8907,value>=type(int32).min&&value<=type(int32).max
9995,claimedWithLoot[lootIds[i]]==false
7790,_undercollateralizedThresholdPercent>_severelyUndercollateralizedThresholdPercent
5855,_value<=balances[msg.sender]
3839,!_isBlackListedBot[tx.origin]
8434,c>=a
9714,tokenA!=tokenB
1584,_to!=address(0)
5983,minters[msg.sender]
4986,to!=address(0)
426,b!=0
9346,paused
1317,!commitments[_commitment]
7087,recipient!=address(0)
8161,"modifiedUnipool.allowance(msg.sender,address(this))>=uniV2SenderBalance"
5149,msg.sender==futureOwner
6646,"template.transferFrom(msg.sender,address(this),_value)"
6469,b>0
6590,msg.value>=cost*_mintAmount
3187,success
127,!isShutdown()
7360,block.timestamp>=MINT_START
4183,from!=address(0)
4369,account!=address(0)
5619,exists(entity)
6791,deadline<block.timestamp
9558,amount>0
9863,budget>=price
5505,success
5631,_paused
3033,genArtCoreContract.isWhitelisted(msg.sender)
9748,subtractedValue>0
3998,msg.sender==buyer||msg.sender==seller
6040,v<=MAX_UINT128
2329,collateralAmount.isGreaterThan(0)
9368,c/_a==_b
3590,account!=address(0)
5319,c/a==b
2080,"(value==0)||(token.allowance(address(this),spender)==0)"
9158,spender!=address(0)
6100,!initialized
1914,balanceOf(_msgSender())>=amount
5092,c/a==b
7883,success
5269,"FraktalNFT(_tokenAddress).balanceOf(address(this),0)==1"
7320,newAmount<=_tTotal*5/1000
585,availableAmount(previousOperator)>=amount
4392,_approvedAlohaAlphaHolders[_msgSender()].approved
9031,required
5667,"pricingPlan.payFee(BURN_SERVICE_NAME,_amount,msg.sender)"
1865,!tgeinfo.started
9297,isContract(target)
855,account!=address(0)
4170,b<=a
2096,day<5
